,Question,Answer
172,What is the role of the Omniverse RTX Renderer?,"The Omniverse RTX Renderer uses Pixar’s Hydra to interface between USD and RTX, supporting multiple custom Scene delegates, Hydra Engines (GL, Vulkan, DX12), and providing a Viewport with Gizmos and other controls rendering asynchronously at high frame rates."
173,How can Python scripting be used in Kit based apps?,"Python scripting can be used at app startup time by passing cmd arguments, using the Console window, or using the Script Editor Window. It allows access to plugins exposed via Python bindings, USD Python API, Kit Python-only modules, and C++ Carbonite plugins."
174,What is the purpose of Kit Extensions?,Kit Extensions are versioned packages with a runtime enabled/disabled state that build on top of scripting and Carbonite Plugins. They are crucial building blocks for extending Kit functionality and can depend on other extensions.
175,What is omni.ui?,"Omni.ui is the UI framework built on top of Dear Imgui, written in C++ but exposes only a Python API."
176,What components does Omniverse Kit bring together?,"Omniverse Kit brings together USD/Hydra, Omniverse (via Omniverse client library), Carbonite, Omniverse RTX Renderer, Scripting, and a UI Toolkit (omni.ui)."
177,How can developers use Omniverse Kit to build their applications?,"Developers can use any combination of major components like USD/Hydra, Omniverse, Carbonite, Omniverse RTX Renderer, Scripting, and omni.ui to build their own Omniverse applications."
178,What is the primary Scene Description used by Kit?,"USD is the primary Scene Description used by Kit, serving both in-memory/authoring/runtime use and as the serialization format."
179,What are some of the services provided by Omni.USD?,"Omni.USD provides services like Events/Listeners, Selection handling, access to the Omniverse USD Audio subsystem, access to the Omniverse Client Library, and handling of USD Layer."
180,What is the purpose of the Omniverse Client Library?,"The Omniverse Client Library is used for communication between Omniverse clients and Omniverse servers, as well as with local filesystems when loading and saving assets."
181,What features does the Carbonite SDK provide for Omniverse apps?,"The Carbonite SDK provides features such as plugin management, input handling, file access, persistent settings management, audio support, asset loading and management, thread and task management, image loading, localization, synchronization, and basic windowing, all with a single platform independent API."
182,How can Carbonite Plugins be accessed from Python?,"Most Carbonite Plugins have Python bindings, accessible from Python to write your own plugins and make them directly usable from Python."
183,What role does the Omniverse RTX Renderer play?,"The Omniverse RTX Renderer uses Pixar’s Hydra to interface between USD and RTX, supporting multiple custom Scene delegates, Hydra Engines (GL, Vulkan, DX12), providing a Viewport with Gizmos and other controls, and rendering asynchronously at high frame rates."
184,What are the ways to run Python scripts in Kit based apps?,"Python scripts can be run at app startup time by passing cmd arguments, using the Console window, or using the Script Editor Window to access plugins, USD Python API, Kit Python-only modules, and C++ Carbonite plugins."
185,How do Kit Extensions build on top of scripting and Carbonite Plugins?,"Kit Extensions are versioned packages with a runtime enabled/disabled state, providing the highest-level and most crucial building blocks to extend Kit functionality, and can depend on other extensions."
186,What is the purpose of omni.ui?,"Omni.ui is the UI framework built on top of Dear Imgui, written in C++, but it exposes only a Python API for usage."
187,What are the main functionalities provided by the Carbonite SDK?,"The Carbonite SDK provides core functionalities for Omniverse apps, including plugin management, input handling, file access, persistent settings management, audio support, asset loading and management, thread and task management, image loading, localization, synchronization, and basic windowing."
188,What profiler backends are supported in Kit-based applications?,"Kit-based applications support NVTX, ChromeTrace, and Tracy profiler backend implementations."
189,How can you start profiling in Kit-based applications?,"To start profiling, enable the omni.kit.profiler.window extension and press F5. Press F5 again to stop profiling and open the trace in Tracy."
190,What can you do in the profiler window?,"In the profiler window, you can perform additional operations such as enabling the Python profiler, browsing traces, and more."
191,How can you run the Kit-based application with Chrome Trace profiler backend?,"You can run the application with Chrome Trace profiler backend by using specific settings with the kit.exe command, producing a trace file named mytrace.gz that can be opened with the Google Chrome browser."
192,What is Tracy and how can you use it for profiling?,Tracy is a profiler supported in Kit-based applications. You can enable it by enabling the omni.kit.profiler.tracy extension and selecting Profiling->Tracy->Launch and Connect from the menu.
193,How can you enable multiple profiler backends simultaneously?,"You can enable multiple profiler backends by running the Kit-based application with the --/app/profilerBackend setting containing a list of desired backends, such as --/app/profilerBackend=[cpu,tracy]."
194,How can you instrument C++ code for profiling?,"To instrument C++ code for profiling, use macros from the Carbonite Profiler, such as CARB_PROFILE_ZONE. Example usage is provided in the text."
195,How can you instrument Python code for profiling?,"To instrument Python code for profiling, use the Carbonite Profiler bindings, either as a decorator or using explicit begin/end statements. Example usage is provided in the text."
196,What is the Automatic Python Profiler in Kit-based applications?,The Automatic Python Profiler hooks into sys.setprofile() method to profile all function calls in Python code. It automatically reports all events to carb.profiler. It is disabled by default but can be enabled using --enable omni.kit.profile_python.
197,How can you profile the startup time of Kit applications?,"To profile the startup time, you can use the profile_startup.bat shell script provided with Kit. It runs an app with profiling enabled, quits, and opens the trace in Tracy. Pass the path to the app kit file and other arguments to the script."
198,How are extensions published in Kit?,Extensions are published to the registry to be used by downstream apps and extensions. The repo publish_exts tool is used to automate the publishing process.
199,What does the [repo_publish_exts] section of repo.toml do?,"The [repo_publish_exts] section in repo.toml lists which extensions to publish. It includes and excludes extensions among those discovered by Kit, supporting wildcards."
200,How can you automate the publishing process in Continuous Integration (CI)?,"In CI scripts, you can run repo publish_exts -c release (and debug) on every green commit to master, after builds and tests pass. This will publish any new extension version. The version number needs to be incremented for publishing to take effect on already published versions."
201,How can you locally test publishing before actually publishing?,"To test publishing locally without actually publishing, you can use the -n flag with repo publish_exts -c release. This performs a ""dry"" run."
202,What should be considered for extensions with separate packages per platform?,"For extensions with separate packages per platform (e.g., C++, native), publishing needs to be run separately on each platform and for each configuration (debug and release) to satisfy all required dependencies for downstream consumers."
203,What does the extension system verify before publishing?,"The extension system verifies basic things like the presence of the extension icon, correctness of the changelog, presence of name and description fields, etc., before publishing. These checks are recommended but not required."
204,How can you run the verification step without publishing?,"To only run the verification step without publishing, you can use the --verify flag with repo publish_exts -c release."
205,Where can you find other available settings for the publish tool?,"For other available settings of the publish tool, you can look into the repo_tools.toml file, which is part of the kit-sdk package and can be found at: _build/$platform/$config/kit/dev/repo_tools.toml."
